Date,Away,Home,Game ID,Level
6-Apr,Springfield,Arkansas,749917,AA
9-Apr,Reno,Tacoma,751438,AAA
17-Apr,Frisco,Arkansas,749915,AA
20-Apr,Frisco,Arkansas,749911,AA
23-Apr,El Paso,Tacoma,751435,AAA
24-Apr,El Paso,Tacoma,751431,AAA
4-May,San Antonio,Arkansas,749906,AA
14-May,NW Arkansas,Arkansas,749900,AA
17-May,Salt Lake,Tacoma,751424,AAA
18-May,NW Arkansas,Arkansas,749901,AA
23-May,Las Vegas,Tacoma,751420,AAA
29-May,Amarillo,Arkansas,749895,AA
30-May,Amarillo,Arkansas,749896,AA
1-Jun,Amarillo,Arkansas,749891,AA
1-Jun,Amarillo,Arkansas,749897,AA
5-Jun,Reno,Tacoma,751415,AAA
10-Jun,DSL Tigers 1,DSL Mariners,774200,Rookie
18-Jun,Las Vegas,Tacoma,751408,AAA
19-Jun,Wichita,Arkansas,749885,AA
20-Jun,Las Vegas,Tacoma,751407,AAA
22-Jun,Wichita,Arkansas,749880,AA
23-Jun,Wichita,Arkansas,749879,AA
11-Jul,DSL Giants Black,DSL Mariners,774176,Rookie
15-Jul,DSL Angels,DSL Mariners,774181,Rookie
17-Jul,DSL Arizona Red,DSL Mariners,774178,Rookie
18-Jul,DSL Nationals,DSL Mariners,774187,Rookie
21-Jul,St. Paul,Toledo,752221,AAA
23-Jul,Tacoma,Oklahoma City,751846,AAA
25-Jul,San Antonio,Midland,749662,AA
28-Jul,Worcester,Scranton,752441,AAA
30-Jul,DSL Cardinals,DSL Mariners,774167,Rookie
31-Jul,Midland,Arkansas,749873,AA
1-Aug,Midland,Arkansas,749868,AA
6-Aug,Harrisburg,Bowie,751107,AA
6-Aug,DSL Nationals,DSL Mariners,774163,Rookie
7-Aug,Tulsa,Arkansas,749864,AA
7-Aug,Palm Beach,Dunedin,760370,A
8-Aug,Tulsa,Arkansas,749863,AA
10-Aug,Tulsa,Arkansas,749865,AA
11-Aug,Tulsa,Arkansas,749861,AA
11-Aug,Jacksonville,Toledo,752211,AAA
13-Aug,Inland Empire,Lake Elsinore,756859,A
13-Aug,DSL Blue Jays,DSL Mariners,774165,Rookie
18-Aug,Oklahoma City,Las Vegas,751905,AAA
21-Aug,NW Arkansas,Arkansas,749862,AA
22-Aug,NW Arkansas,Arkansas,749859,AA
22-Aug,Sacramento,Tacoma,751384,AAA
27-Aug,Lakeland,Dunedin,760366,A
28-Aug,Everett,Eugene,755537,A+
1-Sep,Inland Empire,Stockton,756452,A
3-Sep,Rome,Hickory,754744,A+
3-Sep,Albuquerque,Tacoma,751381,AAA
4-Sep,Corpus Christi,Arkansas,749856,AA
4-Sep,Jacksonville,Louisville,752878,AAA
5-Sep,Corpus Christi,Arkansas,749850,AA
8-Sep,South Bend,Fort Wayne,756126,A+
8-Sep,Corpus Christi,Arkansas,749851,AA
12-Sep,Louisville,Iowa,753097,AAA
15-Sep,Bowie,Erie,751022,AA
18-Sep,Round Rock,Tacoma,751374,AAA
22-Sep,Round Rock,Tacoma,751368,AAA
24-Sep,Midland,Arkansas,775452,AA
25-Sep,Midland,Arkansas,775451,AA